"Team","Pos 1","Pos 2","Pos 3","Pos 4","Pos 5","Pos 6","Pos 7","Pos 8","Pos 9","Pos 10","Pos 11","Pos 12","Pos 13","Pos 14"
"Drøbak-Frogn",0,0,0,1215,351,324,243,54,0,0,0,0,0,0
"Follo",0,0,0,0,108,324,351,540,648,216,0,0,0,0
"Herd",0,0,0,0,243,486,378,567,405,108,0,0,0,0
"Hødd 2",0,0,0,0,0,0,0,0,0,0,0,0,0,2187
"KFUM 2",0,0,0,0,0,0,0,0,0,0,486,1701,0,0
"Kristiansund 2",0,0,0,0,0,0,0,0,0,0,0,0,2187,0
"Lokomotiv Oslo",0,0,0,486,405,621,486,162,27,0,0,0,0,0
"Molde 2",0,2187,0,0,0,0,0,0,0,0,0,0,0,0
"Oppsal",2187,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ready",0,0,0,0,0,0,108,324,243,1512,0,0,0,0
"Rilindja",0,0,0,0,0,0,0,0,0,0,1701,486,0,0
"Spjelkavik",0,0,0,486,1044,252,270,117,18,0,0,0,0,0
"Træff",0,0,2187,0,0,0,0,0,0,0,0,0,0,0
"Ullern",0,0,0,0,36,180,351,423,846,351,0,0,0,0
